cost,thr_avg,thr_sd,d_LME_Age_AIC,d_LME_AgeSex_AIC,d_GAMM_sAge_AIC,d_GAMM_sAgeSex_AIC,d_GAMM_loPDS_AIC,d_GAMM_loPDSSex_AIC,c_LME_Age_AIC,c_LME_AgeSex_AIC,c_GAMM_sAge_AIC,c_GAMM_sAgeSex_AIC,c_GAMM_loPDS_AIC,c_GAMM_loPDSSex_AIC,l_LME_Age_AIC,l_LME_AgeSex_AIC,l_GAMM_sAge_AIC,l_GAMM_sAgeSex_AIC,l_GAMM_loPDS_AIC,l_GAMM_loPDSSex_AIC,e_LME_Age_AIC,e_LME_AgeSex_AIC,e_GAMM_sAge_AIC,e_GAMM_sAgeSex_AIC,e_GAMM_loPDS_AIC,e_GAMM_loPDSSex_AIC
0.01,0.714791858937901,0.0320758740254099,-42.0853088455334,-38.4341425782558,-43.4313448840877,-39.5739312296111,-57.445778417327,-52.5383847580851,-626.146607804184,-624.516942543332,-624.146607804184,-620.516942543332,-628.842012490352,-622.754125665623,741.480286049986,742.502251366068,743.480286049986,746.502251366834,733.587876883472,737.095073646099,-768.54947463873,-764.659773165618,-766.54947463873,-760.659773146265,-767.687178321956,-759.819402666147
0.02,0.650510053635505,0.0336118245495783,119.686026193497,123.234005877404,117.888720501967,122.537658973649,104.781710429661,109.623650000939,-632.501583635932,-628.864018659172,-630.501583635942,-624.864018654364,-640.190919619019,-635.220220621133,489.610398623261,491.821620821731,491.448300025694,495.132794888299,490.233850933737,495.511079867819,-652.930114874389,-649.713743465715,-650.930114877084,-645.713743470669,-653.029123149146,-646.840671046753
0.03,0.605839559479301,0.0337504401063793,211.896125040685,215.310551718246,209.762079747845,214.869036629713,196.463290990379,201.364422056778,-621.006543781984,-617.086307013044,-619.006543781984,-613.086307013044,-622.711548711821,-616.091411180399,420.915951824217,424.839340414733,422.915951824217,428.83934182564,419.094067935549,425.678712192951,-691.348736597866,-688.220136014476,-689.348736597865,-684.220135956999,-691.686386895659,-684.852647446242
0.04,0.570512858727131,0.0330373445884384,275.597342516147,278.907648450726,273.249718198067,278.6133617353,259.954656328242,264.936347021438,-618.995072643361,-616.142183764521,-616.995072643361,-614.256239450321,-625.933314045478,-621.592684278326,252.640343519514,256.245130562158,254.640353691758,260.245130711789,251.36012880597,258.960686914441,-798.970159168427,-796.076759068839,-796.970159168632,-792.076758953027,-801.46000089263,-790.014439201653
0.05,0.540756783475765,0.0323912076231755,323.621702065098,326.850151612248,321.082405636332,326.659106576995,307.885861834783,312.846739840053,-589.042985289993,-585.080554275866,-587.109725011141,-584.852746248304,-596.914878739882,-591.732035732741,113.479299238867,116.859628415809,115.479319532399,120.859628413784,113.878748069831,121.990626971858,-863.33697888377,-860.958167532556,-861.336978883243,-856.958167532556,-862.531280435866,-855.815827680625
0.06,0.514628421052612,0.0319302096636158,362.292235542877,365.460132966719,359.612796741305,365.371433385192,346.400180832111,351.362452760026,-569.607278712234,-565.836774691684,-567.940899424198,-566.027717858198,-578.42745770232,-572.849301981471,-5.95163078257209,-3.43256049685753,-3.95163078248205,0.567439507814029,-6.92840094936874,0.213731140777668,-894.54866766168,-893.548472652241,-892.548667661426,-889.482319540284,-896.020624219005,-892.428261389909
0.07,0.491126030597265,0.031262885891253,394.541033428067,397.664386006795,391.738988086747,397.669027331273,378.499172072983,383.462209015528,-552.330425575778,-548.516517485195,-551.879957780354,-550.30035070541,-561.50438664362,-556.892287498215,-91.0429157556202,-89.213158179194,-89.0429157556203,-85.2131581787906,-95.5715484504009,-89.0257802063718,-887.457754140637,-887.099271445713,-885.941416985573,-885.11331309902,-892.917834251018,-890.188221060315
0.08,0.469770906748981,0.0307406216322219,422.007311231661,425.089660678548,419.072869133471,425.172215587448,405.799144779049,410.757267274095,-547.099906406095,-543.376440523762,-546.971798170964,-543.831509381559,-556.976301407581,NA,-150.375282003573,-148.008470624033,-148.375282003015,-144.008470616635,-158.274683723366,-151.32798204664,-868.582874440798,-867.183487723623,-869.241413233507,-866.494892109494,-879.116054833697,-875.710210767108
0.09,0.449972754407844,0.0299859039467519,445.864508198173,448.900171679338,442.805623464442,449.054840891024,429.468323003229,434.420249192507,-546.443192623293,-542.977804905478,-545.753331906912,-542.802085890395,-555.978524418439,-551.170990071437,-175.081383757423,-172.807441473084,-173.081383757422,-168.80744147124,-190.313881068287,-183.467688289808,-848.501578266663,-846.658597730929,-850.245854051656,-846.244066447324,-861.678781607488,-858.393355732455
0.1,0.431722886258055,0.0292729866471092,466.877475494233,469.875264222885,463.714575404743,470.100979308585,450.304532866125,455.279984000103,-543.452019252369,-540.137528025198,-543.965010550988,-540.256466860807,-554.65506792864,-548.866568246303,-193.076165724659,-191.169717399509,-191.076165704808,-187.169717151827,-214.435119884468,-209.223721095655,-834.529343820879,-832.500827937579,-836.885849534205,-831.884815906688,-849.194056377718,-845.838638625233
0.11,0.414442224156737,0.0286172847519795,485.550685482466,488.516843141346,482.309041812377,488.810550812861,468.777092120609,473.841969072891,-537.187748680637,-534.131233364113,-537.318880274828,-533.214323502963,-547.365447120821,-541.997168917616,-195.970111608302,-194.154913132076,-194.176170473878,-190.515527727565,-221.162789270991,-216.937659403668,-823.28716263985,-821.091106674159,-826.119149522914,-820.607566476429,-838.588328903886,-834.997969993253
0.12,0.398101952489334,0.0277585995757417,502.296436635882,505.232574038525,498.986257574354,505.588871543753,485.335115909283,490.486075537383,-537.821622509024,-534.660805892034,-538.906770104746,-534.028014594741,-548.719681122052,-542.545843009795,-195.812240289649,-194.012878953733,-194.76869577327,-190.949551063502,-224.748472300365,-220.401290640356,-813.360647395746,-811.016959167763,-816.415511880045,-810.608687201021,NA,-825.648860791882
0.13,0.382531996424228,0.0269828385922624,517.390421725132,520.297671378213,514.014890389947,520.713608504146,500.240217032228,505.479730881187,-540.388684912401,-537.123002979409,-541.403373012688,-535.991641925286,-550.55852442882,-545.333287569394,-193.219557242694,-191.541618427447,-193.105612095336,-189.205817876541,-225.335945248146,-221.006772400296,-805.162352600402,-802.843457344106,-808.497320651579,-802.58618427305,NA,NA
0.14,0.367692490238612,0.0262624506237911,531.151503472575,534.032171872824,527.715193389241,534.506431942035,513.818000682884,519.14111028971,-540.10020095764,-536.924745569465,-541.1290225247,-535.635153835991,-550.63636887048,-545.336395702615,-191.660927749748,-189.902636158302,-192.21150866402,-187.895575844255,-224.835475772767,-219.804660697122,-799.925008958855,-797.574886748938,-803.417183120345,-797.232040446921,-815.895235273174,NA
0.15,0.353495184588602,0.0256126521491261,543.715288030721,546.574401188713,540.239504198309,547.115692364858,526.207584452985,531.623357558233,-542.502075863052,-539.282954169692,-543.663968749156,-537.820144441275,-553.481191186548,-548.416138817007,-188.639090279302,-186.892130499452,-189.67753709569,-185.056264050871,-222.470761067164,-216.893688693139,-795.040776556938,-792.707709801921,-798.645345906339,-792.338007304067,NA,-808.130383294312
