,component,strengh
AUD.CON,1,4.9166219236556
CON.DAN,1,6.23986066576656
AUD.DMN,1,4.88084200162575
CBL.DMN,1,4.66916218221493
CON.DMN,1,5.33272966076087
DAN.DMN,1,6.44060349365168
DMN.DMN,1,4.96825371709861
AUD.FPN,1,9.49055741660537
CBL.FPN,1,4.95340125258648
CON.FPN,1,8.54811426328092
DAN.FPN,1,10.9928833079982
DMN.FPN,1,6.96454095093003
FPN.FPN,1,4.96209100198505
DAN.MEM,1,5.20675689632316
DMN.MEM,1,4.88003158099097
FPN.MEM,1,6.68659479945979
FPN.SMH,1,3.44186114390292
SAL.SMH,1,3.75199802977242
CON.SMM,1,5.25831809730416
DMN.SMM,1,4.9878494154912
FPN.SMM,1,8.221948209796
AUD.SUB,1,5.56480741551302
CON.SUB,1,6.35609101406095
SMM.SUB,1,5.48911608873697
CON.VAN,1,4.27622259771992
DMN.VAN,1,5.24158098516895
FPN.VAN,1,5.01279400014456
DMN.VIS,1,5.07969043227341
